Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3527405;Interior;Lucélia;116;7;;
3527504;Interior;Lucianópolis;15;0;;
3527603;Interior;Luís Antônio;347;10;;
3527702;Interior;Luiziânia;95;2;;
3527801;Interior;Lupércio;39;0;;
3527900;Interior;Lutécia;8;0;;
3528007;Interior;Macatuba;925;11;;
3528106;Interior;Macaubal;108;4;;
3528205;Interior;Macedônia;103;4;;
3528304;Interior;Magda;50;2;;
3528403;Interior;Mairinque;684;21;;
3528502;RMSP (exceto capital);Mairiporã;2202;70;;
3528601;Interior;Manduri;133;0;;
3528700;Interior;Marabá Paulista;60;1;;
3528809;Interior;Maracaí;195;1;;
3528858;Interior;Marapoama;84;3;;
3528908;Interior;Mariápolis;34;0;;
3529005;Interior;Marília;5114;88;;
3529104;Interior;Marinópolis;61;1;;
3529203;Interior;Martinópolis;385;14;;
3529302;Interior;Matão;1049;30;;
3529401;RMSP (exceto capital);Mauá;9610;411;;
3529500;Interior;Mendonça;182;10;;
3529609;Interior;Meridiano;137;5;;
3529658;Interior;Mesópolis;37;1;;
3529708;Interior;Miguelópolis;590;17;;
3529807;Interior;Mineiros do Tietê;329;7;;
3529906;Interior;Miracatu;425;17;;
3530003;Interior;Mira Estrela;78;1;;
3530102;Interior;Mirandópolis;611;11;;
3530201;Interior;Mirante do Paranapanema;157;6;;
3530300;Interior;Mirassol;2455;60;;
3530409;Interior;Mirassolândia;194;2;;
3530508;Interior;Mococa;1619;36;;
3530607;RMSP (exceto capital);Mogi das Cruzes;10152;484;;
3530706;Interior;Mogi Guaçu;3629;99;;
3530805;Interior;Mogi Mirim;2349;65;;
3530904;Interior;Mombuca;54;1;;
3531001;Interior;Monções;85;3;;
3531100;Interior;Mongaguá;914;24;;
3531209;Interior;Monte Alegre do Sul;75;1;;
3531308;Interior;Monte Alto;1194;40;;
3531407;Interior;Monte Aprazível;790;19;;
3531506;Interior;Monte Azul Paulista;249;2;;
3531605;Interior;Monte Castelo;123;4;;
3531704;Interior;Monteiro Lobato;80;2;;
3531803;Interior;Monte Mor;1711;34;;
3531902;Interior;Morro Agudo;1336;26;;
3532009;Interior;Morungaba;155;3;;
3532058;Interior;Motuca;71;3;;
3532108;Interior;Murutinga do Sul;70;4;;
3532157;Interior;Nantes;51;1;;
3532207;Interior;Narandiba;138;5;;
3532306;Interior;Natividade da Serra;35;1;;
3532405;Interior;Nazaré Paulista;304;5;;
3532504;Interior;Neves Paulista;291;7;;
3532603;Interior;Nhandeara;253;9;;
3532702;Interior;Nipoã;123;2;;
3532801;Interior;Nova Aliança;295;4;;
3532827;Interior;Nova Campina;89;4;;
3532843;Interior;Nova Canaã Paulista;79;2;;
3532868;Interior;Nova Castilho;21;2;;
3532900;Interior;Nova Europa;324;3;;
3533007;Interior;Nova Granada;1108;23;;
3533106;Interior;Nova Guataporanga;34;0;;
3533205;Interior;Nova Independência;96;1;;
3533254;Interior;Novais;199;8;;
3533304;Interior;Nova Luzitânia;98;2;;
3533403;Interior;Nova Odessa;1548;60;;
3533502;Interior;Novo Horizonte;1336;29;;
3533601;Interior;Nuporanga;127;2;;
